HANDLE,BLNK,LWSTPWR,TRFCCRCT,STLT,PWRFBR,UKNCM,UNKCM1,UNKCM2,CATV,CATV1,UNKCM3,UKNCM4,TELCO,TELCO1,TELCO2,TELCO3,UKN,UKN1,COMNTS,TYPE
'127C,,sec \ n 28,,,,,,,19 7,,,,18 8,,,,,,,JNTTRANS
'12B4,sec \ n 29 8,sec dl 28 4,,,,,,,21 2,,,,20 3,,,,,,,JNTPL
'1308,,sec 27 11,,,,,,,20 8,,,,19 6,,,,,,,JNTTRANS
'1324,,sec 26 1,,dl 24 3,,,,,23 7,22 9,,,22 5,19 10,,,,,ank w,JNTPL
'135C,,sec 24 5,,,,,,,20 1,,,,,19 4,,,,,ank e,JNTPL
'1394,,sec 29 6,,,,,,,22 5,,21 10,,,20 5,,,,,ank e,JNTTRANS
'13B0,,sec 35+,,,,,,,25 6,,,,,,,,,,ank w,JNTPL
'13E8,,sec 35+,,,,,,,21 10,,,,,,,,,,,JNTTRANS
'1404,,sec 29 1,,,,,,,20 8,,,,,,,,,,,JNTPL
'1420,,sec 35+,,,,,,,21 8,,,,,,,,,,,JNTTRANS
'1458,,sec dl 30 1,,dl 24 11,,,,,22 8,,,,,,,,,,ank w,JNTPL
'14AC,,n 29 3,,,,,,,22 11,,,,,,,,,,ank e,JNTPL
'1500,,n 33 6,,,,,,,22 2,,,,,,,,,,,JNTPL
'151C,,n 31 5,,,,,,,25 7,,,,,,,,,,,JNTPL
'1538,n 30 7,tdl 30,,,,,,,21 9,,,,,,,,,,,JNTTRANS
'1570,pp 29 3,sec dl,sec \ n 29 11,dl 19 2,,,,,21 2,,,,,,,,,,,JNTPL
'158C,,sec dl 24 1,sec 24 10,dl 17 9,,,,,20,,,,,,,,,,,JNTTRANS
'15A8,,sec dl 27,sec 27 9,dl 23 11,,,,,21 5,,,,,,,,,,,JNTTRANS
'15C4,,sec dl 26,sec 26 8,dl 20 6,,,,,20 2,,,,,,,,,,,JNTPL
'15E0,,sec dl 20,sec 20 11,dl 17 8,,,,,17 8,,,,,,,,,,,JNTTRANS
'15FC,,sec 22 6,,,,,,,17 1,,,,,,,,,,,JNTPL
'1618,,sec dl 26 5,sec 27 7,dl 20 5,,,,,20 7,,,,,,,,,,ank n,JNTPL
'1634,,sec 35+,,,,,,,21 2,,,,18 4,19 6,,,,,ank s,JNTTRANS
'1650,,sec 35+,,dl 24,,,,,22 9,,,,19 11,21,,,,,,JNTPL
'166C,,sec 35+,,,,,,,22 4,,,,20 9,19 4,,,,,,JNTTRANS
'1688,,sec 35+,,,,,,,19 11,,18 5,,16 4,17 5,,,,,,JNTPL
'16A4,,sec dl 25 2,,,,,,,23 10,,21 2,,18 10,19 10,,,,,,JNTPL
'16DC,,35+,,dl 22 4,,,22 5,,24,,,,19 11,21 2,,,,,,JNTTRANS
'16F8,,35+,,dl 21 9,,,20 3,,21 3,,,,19 3,18 3,,,,,,JNTPL
'1714,,sec 35+,26,dl 22 6 \ 35+,,,20 11,,20 3,,,,,,,,,,,JNTPL
'1730,sec 27 4,sec dl 25 9,,,,,19 8,,22 5,,,,20 8,21 8,,,,,,JNTPL
'174C,,sec 21 11,,,,,16 1,,18 6,,,,17 11,arm h & l bolts 17 \ 15 9,,,,,,JNTPL
